Year,Province Code,Province Name,Total,Male,Female,Total Illiterate,Male Illiterate,Female Illiterate,Total Literate Without Diploma,Male Literate Without Diploma,Female Literate Without Diploma,Total Primary School,Male Primary School,Female Primary School,Total Primary Education,Male Primary Education,Female Primary Education,Total Lower Secondary School,Male Lower Secondary School,Female Lower Secondary School,Total Upper Secondary School,Male Upper Secondary School,Female Upper Secondary School,Total Universities and Higher Institutions,Male Universities and Higher Institutions,Female Universities and Higher Institutions,Total Master,Male Master,Female Master,Total Doctorate,Male Doctorate,Female Doctorate
,40,Kırşehir,221 125,109 234,111 891,5 511,763,4 748,18 808,7 542,11 266,51 548,20 456,31 092,14 104,7 737,6 367,34 970,18 948,16 022,56 151,31 899,24 252,33 401,18 205,15 196,3 732,2 129,1 603,752,474,278
,41,Kocaeli,1 915 885,965 369,950 516,30 506,5 518,24 988,169 477,76 077,93 400,363 395,147 373,216 022,129 198,68 795,60 403,334 471,177 711,156 760,502 641,290 866,211 775,338 894,174 068,164 826,36 127,19 376,16 751,4 313,2 505,1 808
,42,Konya,2 106 536,1 042 620,1 063 916,37 279,6 586,30 693,198 724,85 127,113 597,551 683,223 467,328 216,153 247,84 778,68 469,381 237,209 812,171 425,432 145,243 525,188 620,292 193,155 954,136 239,40 224,22 547,17 677,6 794,4 313,2 481
,43,Kütahya,532 134,261 907,270 227,8 207,1 675,6 532,45 913,17 656,28 257,144 679,54 791,89 888,44 350,22 306,22 044,80 216,43 528,36 688,125 220,75 134,50 086,72 217,40 363,31 854,8 847,5 144,3 703,1 408,895,513
,44,Malatya,685 309,344 083,341 226,30 418,4 426,25 992,63 774,27 329,36 445,141 641,59 103,82 538,43 006,24 075,18 931,118 395,66 200,52 195,165 170,96 098,69 072,106 047,57 246,48 801,12 117,7 090,5 027,1 939,1 258,681
,45,Manisa,1 365 237,684 879,680 358,23 899,4 467,19 432,124 135,51 803,72 332,387 463,168 821,218 642,110 922,62 800,48 122,232 384,127 307,105 077,279 857,159 734,120 123,185 223,98 390,86 833,17 360,9 472,7 888,2 040,1 221,819
,46,Kahramanmaraş,1 015 093,516 162,498 931,39 813,6 914,32 899,113 892,50 757,63 135,230 087,100 344,129 743,80 460,45 814,34 646,205 090,111 864,93 226,201 461,121 204,80 257,122 051,66 401,55 650,13 584,8 260,5 324,1 685,1 094,591
,47,Mardin,774 794,388 124,386 670,47 885,7 147,40 738,117 285,50 836,66 449,148 637,70 088,78 549,41 707,23 013,18 694,172 113,91 507,80 606,151 898,91 537,60 361,78 273,44 182,34 091,9 277,6 220,3 057,588,420,168
,48,Muğla,979 182,499 119,480 063,11 761,2 585,9 176,68 525,30 694,37 831,229 981,103 138,126 843,59 640,35 326,24 314,146 324,82 428,63 896,238 607,132 421,106 186,194 983,97 851,97 132,20 355,10 297,10 058,3 446,1 947,1 499
,49,Muş,351 622,178 659,172 963,18 854,2 847,16 007,54 991,23 777,31 214,71 267,35 013,36 254,21 931,13 188,8 743,83 436,43 520,39 916,64 567,38 810,25 757,31 016,18 261,12 755,3 584,2 350,1 234,504,378,126
