Province code,,Province name,,General Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
40,,  Kırşehir,,194 039,95 476,98 563,5 006,488,4 518,6 494,1 318,5 176,40 052,14 574,25 478,14 104,7 737,6 367,32 326,17 631,14 695,56 151,31 899,24 252,33 401,18 205,15 196,3 732,2 129,1 603,752,474,278,2 021,1 021,1 000
41,,  Kocaeli,,1 624 223,815 488,808 735,26 268,3 156,23 112,34 593,6 760,27 833,242 589,85 211,157 378,129 198,68 795,60 403,303 236,161 928,141 308,502 641,290 866,211 775,338 894,174 068,164 826,36 127,19 376,16 751,4 313,2 505,1 808,6 364,2 823,3 541
42,,  Konya,,1 780 385,875 023,905 362,31 933,3 676,28 257,50 548,8 792,41 756,414 481,152 809,261 672,153 247,84 778,68 469,347 009,192 737,154 272,432 145,243 525,188 620,292 193,155 954,136 239,40 224,22 547,17 677,6 794,4 313,2 481,11 811,5 892,5 919
43,,  Kütahya,,471 855,231 203,240 652,7 233,1 158,6 075,19 180,4 031,15 149,118 697,41 534,77 163,44 350,22 306,22 044,73 701,40 264,33 437,125 220,75 134,50 086,72 217,40 363,31 854,8 847,5 144,3 703,1 408,895,513,1 002,374,628
44,,  Malatya,,585 595,292 979,292 616,29 214,3 747,25 467,19 712,4 685,15 027,99 006,37 270,61 736,43 006,24 075,18 931,106 777,60 350,46 427,165 170,96 098,69 072,106 047,57 246,48 801,12 117,7 090,5 027,1 939,1 258,681,2 607,1 160,1 447
45,,  Manisa,,1 183 745,591 472,592 273,20 797,2 773,18 024,42 548,9 971,32 577,309 872,128 611,181 261,110 922,62 800,48 122,213 379,117 742,95 637,279 857,159 734,120 123,185 223,98 390,86 833,17 360,9 472,7 888,2 040,1 221,819,1 747,758,989
46,,  Kahramanmaraş,,830 493,421 382,409 111,36 967,5 368,31 599,31 349,8 103,23 246,151 378,59 966,91 412,80 460,45 814,34 646,185 056,101 895,83 161,201 461,121 204,80 257,122 051,66 401,55 650,13 584,8 260,5 324,1 685,1 094,591,6 502,3 277,3 225
47,,  Mardin,,602 561,300 096,302 465,46 894,6 568,40 326,36 873,9 425,27 448,78 378,34 221,44 157,41 707,23 013,18 694,152 233,81 695,70 538,151 898,91 537,60 361,78 273,44 182,34 091,9 277,6 220,3 057,588,420,168,6 440,2 815,3 625
48,,  Muğla,,863 499,439 464,424 035,9 759,1 451,8 308,16 653,4 038,12 615,180 442,77 497,102 945,59 640,35 326,24 314,134 400,76 359,58 041,238 607,132 421,106 186,194 983,97 851,97 132,20 355,10 297,10 058,3 446,1 947,1 499,5 214,2 277,2 937
49,,  Muş,,272 838,138 797,134 041,18 451,2 631,15 820,18 977,5 532,13 445,37 742,18 080,19 662,21 931,13 188,8 743,74 724,39 112,35 612,64 567,38 810,25 757,31 016,18 261,12 755,3 584,2 350,1 234,504,378,126,1 342,455,887
50,,  Nevşehir,,248 315,120 728,127 587,5 433,493,4 940,6 612,1 244,5 368,54 890,20 936,33 954,21 616,11 453,10 163,45 305,25 156,20 149,66 767,36 780,29 987,40 336,20 726,19 610,4 389,2 414,1 975,861,485,376,2 106,1 041,1 065
51,,  Niğde,,292 405,145 367,147 038,8 013,758,7 255,8 476,1 652,6 824,64 550,25 972,38 578,28 468,16 173,12 295,62 091,34 841,27 250,72 524,40 960,31 564,41 483,21 160,20 323,5 082,2 888,2 194,1 000,616,384,718,347,371
52,,  Ordu,,635 065,314 621,320 444,30 622,4 525,26 097,38 378,8 362,30 016,137 787,63 140,74 647,50 715,28 253,22 462,111 508,62 846,48 662,156 402,90 911,65 491,96 687,49 558,47 129,9 238,5 100,4 138,1 310,790,520,2 418,1 136,1 282
53,,  Rize,,288 947,143 776,145 171,8 054,650,7 404,11 494,1 268,10 226,53 599,22 513,31 086,22 443,12 752,9 691,46 791,25 249,21 542,86 594,50 095,36 499,52 719,27 414,25 305,5 489,2 894,2 595,976,600,376,788,341,447
54,,  Sakarya,,855 883,426 092,429 791,17 038,2 095,14 943,18 381,4 022,14 359,172 535,65 177,107 358,67 682,36 948,30 734,151 041,83 200,67 841,256 740,145 752,110 988,148 035,75 556,72 479,16 893,9 292,7 601,2 800,1 804,996,4 738,2 246,2 492
55,,  Samsun,,1 104 713,542 041,562 672,22 096,3 288,18 808,57 946,13 531,44 415,236 699,101 321,135 378,90 830,51 463,39 367,186 291,101 500,84 791,280 531,153 713,126 818,199 228,100 872,98 356,21 966,11 514,10 452,3 719,2 227,1 492,5 407,2 612,2 795
56,,  Siirt,,240 057,125 908,114 149,16 506,2 116,14 390,14 668,3 666,11 002,25 638,10 335,15 303,15 636,9 071,6 565,62 641,32 611,30 030,63 426,41 526,21 900,36 349,23 187,13 162,3 898,2 724,1 174,527,385,142,768,287,481
57,,  Sinop,,192 662,95 225,97 437,6 197,1 047,5 150,8 763,2 310,6 453,52 556,22 668,29 888,19 157,10 827,8 330,29 889,17 047,12 842,43 489,23 974,19 515,28 141,14 937,13 204,2 779,1 557,1 222,578,324,254,1 113,534,579
58,,  Sivas,,521 920,258 882,263 038,22 565,2 665,19 900,19 546,4 838,14 708,101 854,40 791,61 063,38 654,20 521,18 133,91 841,50 546,41 295,147 287,86 123,61 164,84 060,44 671,39 389,10 250,5 706,4 544,1 968,1 203,765,3 895,1 818,2 077
59,,  Tekirdağ,,921 456,469 429,452 027,11 510,1 641,9 869,21 044,4 882,16 162,171 292,66 638,104 654,90 934,49 938,40 996,179 557,98 291,81 266,266 531,156 156,110 375,159 286,80 998,78 288,15 789,8 232,7 557,1 935,1 120,815,3 578,1 533,2 045
60,,  Tokat,,492 726,242 000,250 726,11 710,1 792,9 918,31 020,7 860,23 160,114 106,44 110,69 996,44 241,23 970,20 271,86 474,48 090,38 384,119 387,68 774,50 613,74 789,41 144,33 645,7 998,4 670,3 328,1 457,903,554,1 544,687,857
61,,  Trabzon,,660 614,325 093,335 521,21 443,2 158,19 285,27 534,4 785,22 749,118 885,47 813,71 072,41 888,23 794,18 094,100 333,55 325,45 008,198 049,111 409,86 640,130 708,68 237,62 471,14 431,7 675,6 756,3 152,1 904,1 248,4 191,1 993,2 198
62,,  Tunceli,,76 309,40 349,35 960,3 760,518,3 242,2 607,600,2 007,11 979,5 645,6 334,4 908,2 789,2 119,9 804,5 737,4 067,24 496,14 456,10 040,16 115,9 112,7 003,1 565,880,685,254,159,95,821,453,368
63,,  Şanlıurfa,,1 372 222,685 848,686 374,106 975,12 408,94 567,108 030,25 768,82 262,197 994,86 233,111 761,103 971,69 909,34 062,400 026,216 629,183 397,282 081,176 993,105 088,147 428,83 407,64 021,16 770,10 619,6 151,1 604,1 108,496,7 343,2 774,4 569
64,,  Uşak,,304 026,149 436,154 590,4 773,565,4 208,11 028,2 119,8 909,68 320,26 947,41 373,33 371,18 214,15 157,53 131,29 541,23 590,77 473,42 675,34 798,48 219,25 135,23 084,5 097,2 833,2 264,973,601,372,1 641,806,835
65,,  Van,,776 168,396 170,379 998,45 809,6 283,39 526,65 491,14 364,51 127,108 771,46 942,61 829,59 052,38 131,20 921,199 719,113 234,86 485,181 521,111 156,70 365,99 365,56 043,43 322,12 751,8 290,4 461,1 765,1 237,528,1 924,490,1 434
66,,  Yozgat,,335 027,165 725,169 302,11 906,1 603,10 303,14 796,4 326,10 470,81 324,31 385,49 939,26 273,13 780,12 493,59 759,33 294,26 465,85 807,51 594,34 213,45 044,24 264,20 780,4 569,2 771,1 798,717,431,286,4 832,2 277,2 555
67,,  Zonguldak,,494 543,244 124,250 419,21 238,2 123,19 115,16 347,2 765,13 582,112 700,44 066,68 634,44 827,26 800,18 027,77 033,42 777,34 256,134 473,80 007,54 466,76 284,39 618,36 666,7 618,3 966,3 652,1 237,698,539,2 786,1 304,1 482
68,,  Aksaray,,325 188,160 638,164 550,11 168,1 142,10 026,10 596,2 717,7 879,69 791,27 658,42 133,32 218,17 751,14 467,70 294,38 783,31 511,74 622,43 023,31 599,44 542,22 796,21 746,5 869,3 457,2 412,938,588,350,5 150,2 723,2 427
69,,  Bayburt,,69 756,35 258,34 498,2 423,209,2 214,2 256,519,1 737,12 443,4 704,7 739,5 713,2 865,2 848,11 293,6 253,5 040,21 855,12 539,9 316,11 569,6 865,4 704,1 326,795,531,348,234,114,530,275,255
70,,  Karaman,,207 838,102 660,105 178,3 517,493,3 024,4 925,1 277,3 648,45 972,17 986,27 986,22 046,11 708,10 338,38 555,21 033,17 522,52 160,28 190,23 970,33 738,18 047,15 691,4 067,2 347,1 720,690,432,258,2 168,1 147,1 021
71,,  Kırıkkale,,231 748,114 843,116 905,5 887,513,5 374,6 174,1 089,5 085,39 894,12 392,27 502,15 845,7 426,8 419,41 521,22 348,19 173,77 662,45 769,31 893,39 092,22 017,17 075,4 403,2 579,1 824,602,413,189,668,297,371
72,,  Batman,,443 929,223 841,220 088,22 572,3 002,19 570,23 463,5 089,18 374,45 606,17 129,28 477,35 773,20 117,15 656,114 207,60 187,54 020,126 388,74 948,51 440,64 987,36 470,28 517,8 293,5 661,2 632,598,435,163,2 042,803,1 239
73,,  Şırnak,,377 656,200 700,176 956,23 419,3 066,20 353,21 104,5 493,15 611,33 802,15 849,17 953,18 917,10 658,8 259,111 885,59 272,52 613,107 127,68 112,39 015,51 729,32 620,19 109,4 947,3 442,1 505,280,204,76,4 446,1 984,2 462
74,,  Bartın,,173 527,85 512,88 015,5 403,957,4 446,9 058,1 499,7 559,38 793,16 240,22 553,20 586,12 120,8 466,27 623,14 657,12 966,43 520,24 881,18 639,24 420,12 892,11 528,2 511,1 403,1 108,540,339,201,1 073,524,549
75,,  Ardahan,,74 811,38 933,35 878,3 900,532,3 368,2 757,826,1 931,16 252,6 977,9 275,6 434,3 707,2 727,15 018,8 664,6 354,18 248,11 577,6 671,10 320,5 659,4 661,1 184,691,493,239,150,89,459,150,309
76,,  Iğdır,,152 966,80 703,72 263,9 428,1 342,8 086,9 258,3 138,6 120,21 139,11 153,9 986,12 931,7 538,5 393,34 378,20 323,14 055,38 857,22 773,16 084,22 741,12 078,10 663,2 577,1 553,1 024,399,294,105,1 258,511,747
77,,  Yalova,,226 861,112 634,114 227,3 378,416,2 962,4 824,1 056,3 768,38 835,14 507,24 328,14 733,8 070,6 663,39 511,21 332,18 179,68 896,37 591,31 305,47 512,24 775,22 737,5 431,2 957,2 474,823,541,282,2 918,1 389,1 529
78,,  Karabük,,206 258,101 646,104 612,7 140,830,6 310,6 139,1 139,5 000,41 023,15 914,25 109,16 818,8 608,8 210,30 514,17 052,13 462,59 903,34 009,25 894,39 079,20 978,18 101,4 241,2 268,1 973,926,641,285,475,207,268
79,,  Kilis,,112 394,56 162,56 232,2 914,509,2 405,3 408,997,2 411,13 881,5 994,7 887,11 706,6 049,5 657,27 855,14 578,13 277,30 869,16 160,14 709,18 516,10 073,8 443,2 123,1 276,847,319,203,116,803,323,480
80,,  Osmaniye,,420 331,209 952,210 379,17 308,2 482,14 826,10 996,2 853,8 143,67 665,25 236,42 429,33 020,19 015,14 005,89 452,48 999,40 453,117 410,66 109,51 301,73 058,38 996,34 062,7 394,4 290,3 104,632,390,242,3 396,1 582,1 814
81,,  Düzce,,324 625,161 145,163 480,7 543,940,6 603,10 507,1 876,8 631,63 665,24 501,39 164,32 819,18 618,14 201,56 110,30 443,25 667,92 546,52 993,39 553,53 391,27 446,25 945,5 482,2 937,2 545,1 103,697,406,1 459,694,765
